timestamp_utc,elapsed_s,active_channel,active_power_W,ch1_power_W,ch2_power_W,ch1_pm_status,ch2_pm_status,command_status
2026-05-07T18:25:15.158+00:00,14.772378,1,5.024575162679e-03,5.024564000000e-03,2.001846000000e-09,312,264,0
2026-05-07T18:25:15.318+00:00,14.933991,1,5.023940000683e-03,5.024032000000e-03,2.007994000000e-09,312,264,0
2026-05-07T18:25:15.457+00:00,15.080024,1,5.023925099522e-03,5.023851000000e-03,2.012048000000e-09,312,264,0
2026-05-07T18:25:15.601+00:00,15.224866,1,5.024426151067e-03,5.024464000000e-03,2.017135000000e-09,312,264,0
2026-05-07T18:25:15.756+00:00,15.377351,1,5.024651065469e-03,5.024232000000e-03,2.015965000000e-09,312,264,0
2026-05-07T18:25:15.899+00:00,15.517310,1,5.023953039199e-03,5.024319000000e-03,2.012973000000e-09,312,264,0
2026-05-07T18:25:16.022+00:00,15.658661,1,5.024732090533e-03,5.024468000000e-03,2.009028000000e-09,312,264,0
2026-05-07T18:25:16.270+00:00,15.792087,1,5.024652928114e-03,5.024534000000e-03,2.000296000000e-09,312,264,0
2026-05-07T18:25:16.414+00:00,16.043205,1,5.025214981288e-03,5.024977000000e-03,1.991944000000e-09,312,264,0
2026-05-07T18:25:16.559+00:00,16.175603,1,5.024692043662e-03,5.024038000000e-03,1.987619000000e-09,312,264,0
2026-05-07T18:25:16.702+00:00,16.326154,1,5.023845937103e-03,5.023878000000e-03,1.993794000000e-09,312,264,0
2026-05-07T18:25:16.934+00:00,16.468695,1,5.024100188166e-03,5.024110000000e-03,1.997738000000e-09,312,264,0
2026-05-07T18:25:17.077+00:00,16.714455,1,5.024186801165e-03,5.024140000000e-03,1.996269000000e-09,312,264,0
2026-05-07T18:25:17.244+00:00,16.849904,1,5.024197977036e-03,5.023780000000e-03,1.997603000000e-09,312,264,0
2026-05-07T18:25:17.380+00:00,17.003442,1,5.024035926908e-03,5.024121000000e-03,1.998038000000e-09,312,264,0
2026-05-07T18:25:17.529+00:00,17.148508,1,5.023879930377e-03,5.023989000000e-03,2.003560000000e-09,312,264,0
2026-05-07T18:25:17.653+00:00,17.286441,1,5.024050828069e-03,5.023923000000e-03,2.002281000000e-09,312,264,0
2026-05-07T18:25:17.867+00:00,17.435776,1,5.023953039199e-03,5.023821000000e-03,2.008892000000e-09,312,264,0
2026-05-07T18:25:18.005+00:00,17.634952,1,5.023698788136e-03,5.024051000000e-03,2.017706000000e-09,312,264,0
2026-05-07T18:25:18.136+00:00,17.774902,1,5.024189129472e-03,5.024379000000e-03,2.022984000000e-09,312,264,0
2026-05-07T18:25:18.374+00:00,17.925767,1,5.023941863328e-03,5.023684000000e-03,2.027527000000e-09,312,264,0
2026-05-07T18:25:18.555+00:00,18.188654,1,5.024165846407e-03,5.024232000000e-03,2.027690000000e-09,312,264,0
2026-05-07T18:25:18.702+00:00,18.326979,1,5.023317877203e-03,5.023576000000e-03,2.025351000000e-09,312,264,0
2026-05-07T18:25:19.293+00:00,18.469789,1,5.023901816458e-03,5.023440000000e-03,2.017298000000e-09,312,264,0
2026-05-07T18:25:19.910+00:00,19.076519,1,5.024081096053e-03,5.023634000000e-03,1.995861000000e-09,312,264,0
2026-05-07T18:25:20.449+00:00,19.710354,1,5.024062935263e-03,5.023589000000e-03,2.012075000000e-09,312,264,0
2026-05-07T18:25:20.812+00:00,20.221615,1,5.024317186326e-03,5.024136000000e-03,2.022902000000e-09,312,264,0
2026-05-07T18:25:21.285+00:00,20.610084,1,5.024186801165e-03,5.024870000000e-03,2.004186000000e-09,312,264,0
2026-05-07T18:25:21.680+00:00,21.040672,1,5.024155136198e-03,5.024038000000e-03,1.991971000000e-09,312,264,0
2026-05-07T18:25:22.197+00:00,21.440167,1,5.024670157582e-03,5.024225000000e-03,1.998935000000e-09,312,264,0
2026-05-07T18:25:22.750+00:00,21.949794,1,5.023770034313e-03,5.024696000000e-03,1.995807000000e-09,312,264,0
2026-05-07T18:25:23.280+00:00,22.509552,1,5.024487152696e-03,5.024221000000e-03,2.013870000000e-09,312,264,0
2026-05-07T18:25:23.900+00:00,23.039537,1,5.024416837841e-03,5.024760000000e-03,2.009463000000e-09,312,264,0
2026-05-07T18:25:24.461+00:00,23.659168,1,5.024003796279e-03,5.023780000000e-03,1.996814000000e-09,312,264,0
2026-05-07T18:25:25.056+00:00,24.266179,1,5.024121142924e-03,5.023874000000e-03,2.023365000000e-09,312,264,0
2026-05-07T18:25:25.583+00:00,24.833533,1,5.023860838264e-03,5.024078000000e-03,2.030029000000e-09,312,264,0
2026-05-07T18:25:26.172+00:00,25.345857,1,5.023664794862e-03,5.024283000000e-03,2.032886000000e-09,312,264,0
2026-05-07T18:25:26.702+00:00,25.982974,1,5.024529993534e-03,5.024426000000e-03,1.987755000000e-09,312,264,0
2026-05-07T18:25:27.268+00:00,26.500883,1,5.024022888392e-03,5.024449000000e-03,1.985877000000e-09,312,264,0
2026-05-07T18:25:27.972+00:00,27.021648,1,5.024823825806e-03,5.024783000000e-03,2.043550000000e-09,312,264,0
2026-05-07T18:25:28.647+00:00,27.768486,1,5.025552120060e-03,5.024685000000e-03,2.075895000000e-09,312,264,0
2026-05-07T18:25:29.227+00:00,28.405066,1,5.024651065469e-03,5.024323000000e-03,2.059110000000e-09,312,264,0
2026-05-07T18:25:29.796+00:00,29.028259,1,5.024469923228e-03,5.024839000000e-03,2.014414000000e-09,312,264,0
2026-05-07T18:25:30.480+00:00,29.547726,1,5.024855025113e-03,5.024023000000e-03,1.989876000000e-09,312,264,0
2026-05-07T18:25:30.704+00:00,30.294874,1,5.024609155953e-03,5.024855000000e-03,1.982069000000e-09,312,264,0
2026-05-07T18:25:31.004+00:00,30.461551,1,5.024719052017e-03,5.024713000000e-03,1.982504000000e-09,312,264,0
2026-05-07T18:25:31.142+00:00,30.761610,1,5.024828016758e-03,5.024311000000e-03,1.983946000000e-09,312,264,0
2026-05-07T18:25:31.295+00:00,30.901767,1,5.024876911193e-03,5.024630000000e-03,1.982858000000e-09,312,264,0
2026-05-07T18:25:31.441+00:00,31.050149,1,5.024735815823e-03,5.024472000000e-03,1.990693000000e-09,312,264,0
2026-05-07T18:25:31.576+00:00,31.212306,1,5.024758167565e-03,5.024700000000e-03,1.996868000000e-09,312,264,0
2026-05-07T18:25:31.765+00:00,31.352572,1,5.024534184486e-03,5.024664000000e-03,2.008838000000e-09,312,264,0
2026-05-07T18:25:31.949+00:00,31.532840,1,5.024962127209e-03,5.025139000000e-03,2.011585000000e-09,312,264,0
2026-05-07T18:25:32.128+00:00,31.704018,1,5.025006830692e-03,5.025126000000e-03,2.002418000000e-09,312,264,0
2026-05-07T18:25:32.258+00:00,31.883609,1,5.024761892855e-03,5.024824000000e-03,2.003397000000e-09,312,264,0
2026-05-07T18:25:32.483+00:00,32.022535,1,5.025307182223e-03,5.025235000000e-03,2.010905000000e-09,312,264,0
2026-05-07T18:25:32.667+00:00,32.285407,1,5.025262013078e-03,5.025173000000e-03,2.011612000000e-09,312,264,0
2026-05-07T18:25:32.825+00:00,32.430261,1,5.025079008192e-03,5.025288000000e-03,2.011857000000e-09,312,264,0
2026-05-07T18:25:32.964+00:00,32.583831,1,5.025267135352e-03,5.025118000000e-03,2.016536000000e-09,312,264,0
2026-05-07T18:25:33.090+00:00,32.726635,1,5.023770034313e-03,5.023663000000e-03,2.019801000000e-09,312,264,0
2026-05-07T18:25:33.231+00:00,32.867798,1,5.024761892855e-03,5.024858000000e-03,2.022902000000e-09,312,264,0
2026-05-07T18:25:33.515+00:00,32.986562,1,5.024925805628e-03,5.024815000000e-03,2.017761000000e-09,312,264,0
2026-05-07T18:25:33.652+00:00,33.280717,1,5.024889018387e-03,5.024815000000e-03,2.016727000000e-09,312,264,0
2026-05-07T18:25:33.809+00:00,33.420006,1,5.024881102145e-03,5.024964000000e-03,2.018250000000e-09,312,264,0
2026-05-07T18:25:34.047+00:00,33.573287,1,5.025493912399e-03,5.024915000000e-03,2.022032000000e-09,312,264,0
2026-05-07T18:25:34.210+00:00,33.836212,1,5.024314858019e-03,5.024270000000e-03,2.027500000000e-09,312,264,0
2026-05-07T18:25:34.440+00:00,33.974157,1,5.024484824389e-03,5.024285000000e-03,2.037429000000e-09,312,264,0
2026-05-07T18:25:34.844+00:00,34.222445,1,5.024639889598e-03,5.024572000000e-03,2.050541000000e-09,312,264,0
2026-05-07T18:25:35.406+00:00,34.615809,1,5.024977028370e-03,5.024200000000e-03,2.036205000000e-09,312,264,0
2026-05-07T18:25:35.957+00:00,35.223377,1,5.024177953601e-03,5.024245000000e-03,2.025595000000e-09,312,264,0
2026-05-07T18:25:36.419+00:00,35.736195,1,5.024249199778e-03,5.023923000000e-03,2.037565000000e-09,312,264,0
2026-05-07T18:25:36.954+00:00,36.174113,1,5.024907179177e-03,5.024123000000e-03,2.029866000000e-09,312,264,0
2026-05-07T18:25:37.543+00:00,36.718048,1,5.024701822549e-03,5.024745000000e-03,1.989632000000e-09,312,264,0
2026-05-07T18:25:38.118+00:00,37.353656,1,5.024356767535e-03,5.024732000000e-03,1.991998000000e-09,312,264,0
2026-05-07T18:25:38.642+00:00,37.880501,1,5.024701822549e-03,5.024530000000e-03,1.995861000000e-09,312,264,0
2026-05-07T18:25:39.064+00:00,38.398480,1,5.024615209550e-03,5.024048000000e-03,1.983701000000e-09,312,264,0
2026-05-07T18:25:39.756+00:00,38.881475,1,5.023969803005e-03,5.024177000000e-03,2.010035000000e-09,312,264,0
2026-05-07T18:25:40.459+00:00,39.520246,1,5.023565143347e-03,5.024557000000e-03,2.034872000000e-09,312,264,0
2026-05-07T18:25:41.128+00:00,40.214508,1,5.024780984968e-03,5.024609000000e-03,2.034736000000e-09,312,264,0
2026-05-07T18:25:41.730+00:00,40.883883,1,5.024196114391e-03,5.024685000000e-03,2.002309000000e-09,312,264,0
2026-05-07T18:25:42.318+00:00,41.522202,1,5.024800077081e-03,5.023891000000e-03,1.972874000000e-09,312,264,0
2026-05-07T18:25:42.758+00:00,42.077236,1,5.024162121117e-03,5.024377000000e-03,1.975350000000e-09,312,264,0
2026-05-07T18:25:43.377+00:00,42.513009,1,5.023838020861e-03,5.024253000000e-03,1.966182000000e-09,312,264,0
2026-05-07T18:25:43.985+00:00,43.151669,1,5.024563986808e-03,5.024313000000e-03,1.959354000000e-09,312,264,0
2026-05-07T18:25:44.646+00:00,43.791468,1,5.024000070989e-03,5.023936000000e-03,1.942895000000e-09,312,264,0
2026-05-07T18:25:45.263+00:00,44.430307,1,5.024590995163e-03,5.024153000000e-03,1.941372000000e-09,312,264,0
2026-05-07T18:25:45.933+00:00,45.068405,1,5.024215206504e-03,5.024502000000e-03,1.944419000000e-09,312,264,0
2026-05-07T18:25:46.458+00:00,45.705447,1,5.024714861065e-03,5.024379000000e-03,1.957613000000e-09,312,264,0
2026-05-07T18:25:46.995+00:00,46.218065,1,5.023922771215e-03,5.024625000000e-03,1.939794000000e-09,312,264,0
2026-05-07T18:25:47.135+00:00,46.756167,1,5.024317186326e-03,5.024566000000e-03,1.935605000000e-09,312,264,0
2026-05-07T18:25:47.270+00:00,46.897106,1,5.024975165725e-03,5.024866000000e-03,1.939576000000e-09,312,264,0
2026-05-07T18:25:47.506+00:00,47.025262,1,5.025087855756e-03,5.024672000000e-03,1.948282000000e-09,312,264,0
2026-05-07T18:25:47.709+00:00,47.261915,1,5.024249199778e-03,5.024311000000e-03,1.953967000000e-09,312,264,0
2026-05-07T18:25:47.868+00:00,47.495097,1,5.024627782404e-03,5.024394000000e-03,1.957096000000e-09,312,264,0
2026-05-07T18:25:48.018+00:00,47.637581,1,5.023978184909e-03,5.024104000000e-03,1.967080000000e-09,312,264,0
2026-05-07T18:25:48.166+00:00,47.787529,1,5.025099031627e-03,5.024830000000e-03,1.972248000000e-09,312,264,0
2026-05-07T18:25:48.297+00:00,47.928769,1,5.024923942983e-03,5.024700000000e-03,1.974914000000e-09,312,264,0
2026-05-07T18:25:48.426+00:00,48.053490,1,5.024211015552e-03,5.024178000000e-03,1.975867000000e-09,312,264,0
2026-05-07T18:25:48.563+00:00,48.189711,1,5.024518817663e-03,5.024935000000e-03,1.980600000000e-09,312,264,0
2026-05-07T18:25:48.779+00:00,48.331683,1,5.024624988437e-03,5.024979000000e-03,1.988462000000e-09,312,264,0
2026-05-07T18:25:48.967+00:00,48.579445,1,5.024894140661e-03,5.024251000000e-03,1.997548000000e-09,312,264,0
2026-05-07T18:25:49.105+00:00,48.735005,1,5.023763049394e-03,5.024055000000e-03,2.003043000000e-09,312,264,0
2026-05-07T18:25:49.283+00:00,48.873684,1,5.023705773056e-03,5.024336000000e-03,2.010905000000e-09,312,264,0
2026-05-07T18:25:49.459+00:00,49.039380,1,5.024842917919e-03,5.024336000000e-03,2.012728000000e-09,312,264,0
2026-05-07T18:25:49.601+00:00,49.214086,1,5.024006124586e-03,5.024042000000e-03,2.016999000000e-09,312,264,0
2026-05-07T18:25:49.730+00:00,49.356867,1,5.024075973779e-03,5.024213000000e-03,2.025078000000e-09,312,264,0
2026-05-07T18:25:49.968+00:00,49.499414,1,5.023774225265e-03,5.024130000000e-03,2.026792000000e-09,312,264,0
2026-05-07T18:25:50.109+00:00,49.747188,1,5.024873185903e-03,5.024981000000e-03,2.024344000000e-09,312,264,0
2026-05-07T18:25:50.263+00:00,49.889682,1,5.024170037359e-03,5.024117000000e-03,2.022440000000e-09,312,264,0
2026-05-07T18:25:50.515+00:00,50.031656,1,5.023721139878e-03,5.023022000000e-03,2.011830000000e-09,312,264,0
2026-05-07T18:25:50.656+00:00,50.277421,1,5.023680161685e-03,5.023840000000e-03,2.004131000000e-09,312,264,0
2026-05-07T18:25:50.799+00:00,50.416375,1,5.023817997426e-03,5.023580000000e-03,1.996677000000e-09,312,264,0
2026-05-07T18:25:50.938+00:00,50.551801,1,5.023732781410e-03,5.023995000000e-03,1.992951000000e-09,312,264,0
2026-05-07T18:25:51.079+00:00,50.693756,1,5.023596808314e-03,5.023431000000e-03,1.996297000000e-09,312,264,0
2026-05-07T18:25:51.248+00:00,50.849291,1,5.023466888815e-03,5.023463000000e-03,1.999806000000e-09,312,264,0
2026-05-07T18:25:51.378+00:00,51.003825,1,5.023531150073e-03,5.023753000000e-03,2.003723000000e-09,312,264,0
2026-05-07T18:25:51.842+00:00,51.142054,1,5.023745819926e-03,5.025100000000e-03,2.020291000000e-09,312,264,0
2026-05-07T18:25:52.406+00:00,51.655855,1,5.024847108871e-03,5.025465000000e-03,2.020019000000e-09,312,264,0
2026-05-07T18:25:52.860+00:00,52.170636,1,5.025155842304e-03,5.025852000000e-03,2.030084000000e-09,312,264,0
2026-05-07T18:25:53.288+00:00,52.627598,1,5.024581216276e-03,5.024681000000e-03,2.023310000000e-09,312,264,0
2026-05-07T18:25:53.904+00:00,53.044530,1,5.024261772633e-03,5.024251000000e-03,2.012619000000e-09,312,264,0
2026-05-07T18:25:54.509+00:00,53.687432,1,5.024521145970e-03,5.024653000000e-03,2.007450000000e-09,312,264,0
2026-05-07T18:25:55.222+00:00,54.294525,1,5.025080870837e-03,5.024911000000e-03,1.998718000000e-09,312,264,0
2026-05-07T18:25:55.882+00:00,54.982624,1,5.024957936257e-03,5.025118000000e-03,1.978342000000e-09,312,264,0
2026-05-07T18:25:56.529+00:00,55.653162,1,5.025077145547e-03,5.024785000000e-03,1.971541000000e-09,312,264,0
2026-05-07T18:25:57.152+00:00,56.290989,1,5.024808924645e-03,5.024659000000e-03,1.966073000000e-09,312,264,0
2026-05-07T18:25:57.767+00:00,56.926577,1,5.024388898164e-03,5.024304000000e-03,1.975894000000e-09,312,264,0
2026-05-07T18:25:58.328+00:00,57.563354,1,5.024847108871e-03,5.024928000000e-03,2.016020000000e-09,312,264,0
2026-05-07T18:25:58.935+00:00,58.084473,1,5.024798214436e-03,5.024317000000e-03,2.069720000000e-09,312,264,0
2026-05-07T18:25:59.452+00:00,58.723301,1,5.024143029004e-03,5.024298000000e-03,2.098502000000e-09,312,264,0
2026-05-07T18:26:00.046+00:00,59.235637,1,5.024264100939e-03,5.024100000000e-03,2.073338000000e-09,312,264,0
